WARNING (------): DXF version not recognised or not release 12-15.
SYMBOL: layer="0", name="*MODEL_SPACE", org=(0,0), 0 entities.
WARNING (006806): BLOCK object group 67 unknown/not supported - ignored.
WARNING (006822): BLOCK object group 3 unknown/not supported - ignored.
WARNING (006824): BLOCK object group 1 unknown/not supported - ignored.
SYMBOL: layer="0", name="*PAPER_SPACE", org=(0,0), 0 entities.
WARNING (006834): BLOCKS section group 67 unknown/not supported - ignored.
WARNING (006862): BLOCK object group 3 unknown/not supported - ignored.
WARNING (006864): BLOCK object group 1 unknown/not supported - ignored.
SYMBOL: layer="0", name="*U0", org=(0,0), 0 entities.
WARNING (006900): BLOCK object group 3 unknown/not supported - ignored.
WARNING (006902): BLOCK object group 1 unknown/not supported - ignored.
LINE entity, line 6904
LINE: layer="0", p1=(-2540,0), p2=(2540,0)
SYMBOL: layer="0", name="GENAXEH", org=(0,0), 1 entities.
WARNING (006962): BLOCK object group 3 unknown/not supported - ignored.
WARNING (006964): BLOCK object group 1 unknown/not supported - ignored.
SYMBOL: layer="0", name="*U2", org=(0,0), 0 entities.
WARNING (007000): BLOCK object group 3 unknown/not supported - ignored.
WARNING (007002): BLOCK object group 1 unknown/not supported - ignored.
SYMBOL: layer="0", name="*U3", org=(0,0), 0 entities.
WARNING (007038): BLOCK object group 3 unknown/not supported - ignored.
WARNING (007040): BLOCK object group 1 unknown/not supported - ignored.
SYMBOL: layer="0", name="*U4", org=(0,0), 0 entities.
WARNING (007076): BLOCK object group 3 unknown/not supported - ignored.
WARNING (007078): BLOCK object group 1 unknown/not supported - ignored.
SYMBOL: layer="0", name="*U5", org=(0,0), 0 entities.
WARNING (007114): BLOCK object group 3 unknown/not supported - ignored.
WARNING (007116): BLOCK object group 1 unknown/not supported - ignored.
SYMBOL: layer="0", name="*U6", org=(0,0), 0 entities.
POLYLINE entity, line 7136
WARNING (007166): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (007186): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (007206): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (007226): VERTEX entity group 8 unknown/not supported - ignored.
POLYLINE: layer="PCB", flags=0x01, #pts=5, 0=(0,88900), 1=(60960,88900), 2=(60960,0), 3=(0,0), 4=(0,88900)
WARNING (007240): ENTITIES section group 5 unknown/not supported - ignored.
WARNING (007242): ENTITIES section group 330 unknown/not supported - ignored.
WARNING (007244): ENTITIES section group 100 unknown/not supported - ignored.
POLYLINE entity, line 7248
WARNING (007276): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (007296): VERTEX entity group 8 unknown/not supported - ignored.
POLYLINE: layer="TOP_TRACE", flags=0x00, #pts=2, 0=(7366,81978), 1=(27940,81978)
WARNING (007312): ENTITIES section group 5 unknown/not supported - ignored.
WARNING (007314): ENTITIES section group 330 unknown/not supported - ignored.
WARNING (007316): ENTITIES section group 100 unknown/not supported - ignored.
POLYLINE entity, line 7320
WARNING (007348): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (007368): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (007390): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (007410): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (007432): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (007452): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (007474): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (007494): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (007516): VERTEX entity group 8 unknown/not supported - ignored.
POLYLINE: layer="TOP_TRACE", flags=0x00, #pts=9, 0=(33020,81978), 1=(53594,81978), 2=(54039,81534), 3=(54039,7366), 4=(53594,6921), 5=(7366,6921), 6=(6921,7366), 7=(6922,81534), 8=(7366,81978)
WARNING (007530): ENTITIES section group 5 unknown/not supported - ignored.
WARNING (007532): ENTITIES section group 330 unknown/not supported - ignored.
WARNING (007534): ENTITIES section group 100 unknown/not supported - ignored.
POLYLINE entity, line 7538
WARNING (007566): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (007586): VERTEX entity group 8 unknown/not supported - ignored.
POLYLINE: layer="TOP_TRACE", flags=0x00, #pts=2, 0=(7366,84138), 1=(27940,84138)
WARNING (007602): ENTITIES section group 5 unknown/not supported - ignored.
WARNING (007604): ENTITIES section group 330 unknown/not supported - ignored.
WARNING (007606): ENTITIES section group 100 unknown/not supported - ignored.
POLYLINE entity, line 7610
WARNING (007638): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (007658): VERTEX entity group 8 unknown/not supported - ignored.
POLYLINE: layer="TOP_TRACE", flags=0x00, #pts=2, 0=(7366,86296), 1=(27940,86296)
WARNING (007674): ENTITIES section group 5 unknown/not supported - ignored.
WARNING (007676): ENTITIES section group 330 unknown/not supported - ignored.
WARNING (007678): ENTITIES section group 100 unknown/not supported - ignored.
POLYLINE entity, line 7682
WARNING (007710): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (007730): VERTEX entity group 8 unknown/not supported - ignored.
POLYLINE: layer="TOP_TRACE", flags=0x00, #pts=2, 0=(7366,88456), 1=(27940,88456)
WARNING (007746): ENTITIES section group 5 unknown/not supported - ignored.
WARNING (007748): ENTITIES section group 330 unknown/not supported - ignored.
WARNING (007750): ENTITIES section group 100 unknown/not supported - ignored.
POLYLINE entity, line 7754
WARNING (007782): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (007802): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (007824): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (007844): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (007866): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (007886): VERTEX entity group 8 unknown/not supported - ignored.
POLYLINE: layer="TOP_TRACE", flags=0x00, #pts=6, 0=(33020,84138), 1=(53594,84138), 2=(56198,81534), 3=(56198,7366), 4=(53594,4762), 5=(33020,4762)
WARNING (007902): ENTITIES section group 5 unknown/not supported - ignored.
WARNING (007904): ENTITIES section group 330 unknown/not supported - ignored.
WARNING (007906): ENTITIES section group 100 unknown/not supported - ignored.
POLYLINE entity, line 7910
WARNING (007938): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (007958): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (007980): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (008000): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (008022): VERTEX entity group 8 unknown/not supported - ignored.
POLYLINE: layer="TOP_TRACE", flags=0x00, #pts=5, 0=(27940,4762), 1=(7366,4762), 2=(4762,7366), 3=(4762,81534), 4=(7366,84138)
WARNING (008036): ENTITIES section group 5 unknown/not supported - ignored.
WARNING (008038): ENTITIES section group 330 unknown/not supported - ignored.
WARNING (008040): ENTITIES section group 100 unknown/not supported - ignored.
POLYLINE entity, line 8044
WARNING (008072): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (008092): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (008114): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (008134): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (008156): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (008176): VERTEX entity group 8 unknown/not supported - ignored.
POLYLINE: layer="TOP_TRACE", flags=0x00, #pts=6, 0=(33020,86296), 1=(53594,86296), 2=(58357,81534), 3=(58357,7366), 4=(53594,2604), 5=(33020,2604)
WARNING (008192): ENTITIES section group 5 unknown/not supported - ignored.
WARNING (008194): ENTITIES section group 330 unknown/not supported - ignored.
WARNING (008196): ENTITIES section group 100 unknown/not supported - ignored.
POLYLINE entity, line 8200
WARNING (008228): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (008248): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (008270): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (008290): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (008312): VERTEX entity group 8 unknown/not supported - ignored.
POLYLINE: layer="TOP_TRACE", flags=0x00, #pts=5, 0=(27940,2604), 1=(7366,2603), 2=(2603,7366), 3=(2603,81534), 4=(7366,86296)
WARNING (008326): ENTITIES section group 5 unknown/not supported - ignored.
WARNING (008328): ENTITIES section group 330 unknown/not supported - ignored.
WARNING (008330): ENTITIES section group 100 unknown/not supported - ignored.
POLYLINE entity, line 8334
WARNING (008362): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (008382): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (008404): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (008424): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (008446): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (008466): VERTEX entity group 8 unknown/not supported - ignored.
POLYLINE: layer="TOP_TRACE", flags=0x00, #pts=6, 0=(33020,88456), 1=(53594,88456), 2=(60516,81534), 3=(60516,7366), 4=(53594,444), 5=(33020,444)
WARNING (008482): ENTITIES section group 5 unknown/not supported - ignored.
WARNING (008484): ENTITIES section group 330 unknown/not supported - ignored.
WARNING (008486): ENTITIES section group 100 unknown/not supported - ignored.
POLYLINE entity, line 8490
WARNING (008518): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (008538): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (008560): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (008580): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (008602): VERTEX entity group 8 unknown/not supported - ignored.
POLYLINE: layer="TOP_TRACE", flags=0x00, #pts=5, 0=(27940,444), 1=(7366,444), 2=(444,7366), 3=(444,81534), 4=(7366,88456)
WARNING (008616): ENTITIES section group 5 unknown/not supported - ignored.
WARNING (008618): ENTITIES section group 330 unknown/not supported - ignored.
WARNING (008620): ENTITIES section group 100 unknown/not supported - ignored.
POLYLINE entity, line 8624
WARNING (008652): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (008672): VERTEX entity group 8 unknown/not supported - ignored.
POLYLINE: layer="TOP_TRACE", flags=0x00, #pts=2, 0=(27940,86296), 1=(33020,88456)
WARNING (008686): ENTITIES section group 5 unknown/not supported - ignored.
WARNING (008688): ENTITIES section group 330 unknown/not supported - ignored.
WARNING (008690): ENTITIES section group 100 unknown/not supported - ignored.
POLYLINE entity, line 8694
WARNING (008722): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (008742): VERTEX entity group 8 unknown/not supported - ignored.
POLYLINE: layer="TOP_TRACE", flags=0x00, #pts=2, 0=(27940,81978), 1=(33020,84138)
WARNING (008756): ENTITIES section group 5 unknown/not supported - ignored.
WARNING (008758): ENTITIES section group 330 unknown/not supported - ignored.
WARNING (008760): ENTITIES section group 100 unknown/not supported - ignored.
POLYLINE entity, line 8764
WARNING (008792): VERTEX entity group 8 unknown/not supported - ignored.
WARNING (008812): VERTEX entity group 8 unknown/not supported - ignored.
POLYLINE: layer="TOP_TRACE", flags=0x00, #pts=2, 0=(27940,4762), 1=(33020,2604)
WARNING (008826): ENTITIES section group 5 unknown/not supported - ignored.
WARNING (008828): ENTITIES section group 330 unknown/not supported - ignored.
WARNING (008830): ENTITIES section group 100 unknown/not supported - ignored.
POLYLINE entity, line 8834
WARNING (008862): VERT
